attractionId,en-attractionCategory,en_attractionName,de-attractionCategory,de_attractionName,attractionPriceAdult,gocityDayPass,gocityFlexPass,sightseeingDayPass,sightseeingFlexPass,sightseeingEconomyDayPass,sightseeingEconomyFlexPass,de_attractionAffiliateLink,en_attractionAffiliateLink,attractionImageLink,
edge,Top Attractions,Edge ,Top Attraktionen,Edge ,$47.18 ,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,https://www.getyourguide.de/edge-manhattan-l158493/nyc-edge-observation-deck-skip-the-ticket-line-optionen-t404016?partner_id=W6XD61L&utm_medium=online_publisher&cmp=passprofi,https://www.getyourguide.com/edge-manhattan-l158493/nyc-edge-observation-deck-skip-the-ticket-line-optionen-t404016?partner_id=W6XD61L&utm_medium=online_publisher&cmp=passprofi,https://nycliebe.de/wp-content/uploads/2023/03/test-image.webp,
empire,Top Attractions,Empire State Building,Top Attraktionen,Empire State Building,$53.35 ,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,https://www.getyourguide.de/empire-state-building-l2608/uberspringe-die-schlange-empire-state-building-observatory-tickets-t6195?partner_id=W6XD61L&utm_medium=online_publisher&cmp=passprofi,https://www.getyourguide.com/empire-state-building-l2608/uberspringe-die-schlange-empire-state-building-observatory-tickets-t6195?partner_id=W6XD61L&utm_medium=online_publisher&cmp=passprofi,https://nycliebe.de/wp-content/uploads/2023/03/test-image.webp,
oneworld,Top Attractions,One World Observatory ,Top Attraktionen,One World Observatory ,$47.91 ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,https://www.getyourguide.de/new-york-l59/nyc-one-world-observatory-ticket-ohne-anstehen-t552373?partner_id=W6XD61L&utm_medium=online_publisher&cmp=passprofi,https://www.getyourguide.com/new-york-l59/nyc-one-world-observatory-ticket-ohne-anstehen-t552373?partner_id=W6XD61L&utm_medium=online_publisher&cmp=passprofi,https://nycliebe.de/wp-content/uploads/2023/03/test-image.webp,
summit,Top Attractions,SUMMIT One Vanderbilt,Top Attraktionen,SUMMIT One Vanderbilt,$54.44 ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.getyourguide.de/new-york-l59/nyc-summit-one-vanderbilt-experience-ticket-t404501?partner_id=W6XD61L&utm_medium=online_publisher&cmp=passprofi,https://www.getyourguide.com/new-york-l59/nyc-summit-one-vanderbilt-experience-ticket-t404501?partner_id=W6XD61L&utm_medium=online_publisher&cmp=passprofi,https://nycliebe.de/wp-content/uploads/2023/03/test-image.webp,
topoftherock,Top Attractions,Top of the Rock,Top Attraktionen,Top of the Rock,$50.08 ,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,https://www.getyourguide.de/new-york-l59/new-york-city-top-of-the-rock-observation-deck-ticket-t37483?partner_id=W6XD61L&utm_medium=online_publisher&cmp=passprofi,https://www.getyourguide.com/new-york-l59/new-york-city-top-of-the-rock-observation-deck-ticket-t37483?partner_id=W6XD61L&utm_medium=online_publisher&cmp=passprofi,https://nycliebe.de/wp-content/uploads/2023/03/test-image.webp,
statuemore,Top Attractions,Statue of Liberty: Ferry + Crown/Pedestal,Top Attraktionen,Freiheitsstatue: Fähre + Krone/Sockel,$25.80 ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.cityexperiences.com/new-york/city-cruises/statue/,https://www.cityexperiences.com/new-york/city-cruises/statue/,https://nycliebe.de/wp-content/uploads/2023/03/test-image.webp,
statueferry,Top Attractions,Statue of Liberty: Ferry zur Insel,Top Attraktionen,Freiheitsstatue: Fähre zur Insel,$25.50 ,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,https://www.getyourguide.de/new-york-l59/freiheitsstatue-ellis-island-ticket-optionen-mit-fahre-t393246?partner_id=W6XD61L&utm_medium=online_publisher&cmp=passprofi,https://www.getyourguide.com/new-york-l59/freiheitsstatue-ellis-island-ticket-optionen-mit-fahre-t393246?partner_id=W6XD61L&utm_medium=online_publisher&cmp=passprofi,https://nycliebe.de/wp-content/uploads/2023/03/test-image.webp,
hoponhopoff,Top Attractions,Hop on Hop off Bus Tour (48h),Top Attraktionen,Hop on Hop off Busfahrt (48h),$87.00 ,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,https://www.getyourguide.de/new-york-l59/new-york-hop-onhop-off-bustour-sightseeing-tour-mit-dem-open-top-bus-t52377?partner_id=W6XD61L&utm_medium=online_publisher&cmp=passprofi,https://www.getyourguide.com/new-york-l59/new-york-hop-onhop-off-bustour-sightseeing-tour-mit-dem-open-top-bus-t52377?partner_id=W6XD61L&utm_medium=online_publisher&cmp=passprofi,https://nycliebe.de/wp-content/uploads/2023/03/test-image.webp,
theride,Top Attractions,The RIDE,Top Attraktionen,The RIDE,$79.00 ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,https://www.getyourguide.de/new-york-l59/erlebe-the-ride-in-new-york-city-t28633?partner_id=W6XD61L&utm_medium=online_publisher&cmp=passprofi,https://www.getyourguide.com/new-york-l59/erlebe-the-ride-in-new-york-city-t28633?partner_id=W6XD61L&utm_medium=online_publisher&cmp=passprofi,https://nycliebe.de/wp-content/uploads/2023/03/test-image.webp,
911museum,Top Attractions,9/11 Memorial Museum,Top Attraktionen,9/11 Memorial Museum,$33.00 ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,https://www.getyourguide.de/911-memorial-museum-l3394/911-memorial-museum-eintritt-ohne-anstehen-t109024?partner_id=W6XD61L&utm_medium=online_publisher&cmp=passprofi,https://www.getyourguide.com/911-memorial-museum-l3394/911-memorial-museum-eintritt-ohne-anstehen-t109024?partner_id=W6XD61L&utm_medium=online_publisher&cmp=passprofi,https://nycliebe.de/wp-content/uploads/2023/03/test-image.webp,
