passID,en_passName,de_passName,passPriceAdult,en_passAffiliateLink,de_passAffiliateLink,passImageLink,,,,,,PHOTO OF PASS
,,,,,,,,,,,,
gocity-flex--2,GoCity Flex Pass for 2 Attractions ,GoCity Flex Pass für 2 Attraktionen ,$89 ,https://prf.hn/click/camref:1011lwjSA/pubref:passprofi/destination:https%3A%2F%2Fgocity.com%2Fen%2Fnew-york%2Fpasses%2Fexplorer,https://prf.hn/click/camref:1011lwjSA/pubref:passprofi/destination:https%3A%2F%2Fgocity.com%2Fde%2Fnew-york%2Fpasses%2Fexplorer,https://nycliebe.de/wp-content/uploads/2025/04/gocitypass.png,,,,,,
gocity-flex--3,GoCity Flex Pass for 3 Attractions ,GoCity Flex Pass für 3 Attraktionen ,$119 ,https://prf.hn/click/camref:1011lwjSA/pubref:passprofi/destination:https%3A%2F%2Fgocity.com%2Fen%2Fnew-york%2Fpasses%2Fexplorer,https://prf.hn/click/camref:1011lwjSA/pubref:passprofi/destination:https%3A%2F%2Fgocity.com%2Fde%2Fnew-york%2Fpasses%2Fexplorer,https://nycliebe.de/wp-content/uploads/2025/04/gocitypass.png,,,,,,
gocity-flex--4,GoCity Flex Pass for 4 Attractions ,GoCity Flex Pass für 4 Attraktionen ,$154 ,https://prf.hn/click/camref:1011lwjSA/pubref:passprofi/destination:https%3A%2F%2Fgocity.com%2Fen%2Fnew-york%2Fpasses%2Fexplorer,https://prf.hn/click/camref:1011lwjSA/pubref:passprofi/destination:https%3A%2F%2Fgocity.com%2Fen%2Fnew-york%2Fpasses%2Fexplorer,https://nycliebe.de/wp-content/uploads/2025/04/gocitypass.png,,,,,,
gocity-flex--5,GoCity Flex Pass for 5 Attractions ,GoCity Flex Pass für 5 Attraktionen ,$179 ,https://prf.hn/click/camref:1011lwjSA/pubref:passprofi/destination:https%3A%2F%2Fgocity.com%2Fen%2Fnew-york%2Fpasses%2Fexplorer,https://prf.hn/click/camref:1011lwjSA/pubref:passprofi/destination:https%3A%2F%2Fgocity.com%2Fde%2Fnew-york%2Fpasses%2Fexplorer,https://nycliebe.de/wp-content/uploads/2025/04/gocitypass.png,,,,,,
gocity-flex--6,GoCity Flex Pass for 6 Attractions   ,GoCity Flex Pass für 6 Attraktionen ,$199 ,https://prf.hn/click/camref:1011lwjSA/pubref:passprofi/destination:https%3A%2F%2Fgocity.com%2Fen%2Fnew-york%2Fpasses%2Fexplorer,https://prf.hn/click/camref:1011lwjSA/pubref:passprofi/destination:https%3A%2F%2Fgocity.com%2Fen%2Fnew-york%2Fpasses%2Fexplorer,https://nycliebe.de/wp-content/uploads/2025/04/gocitypass.png,,,,,,
gocity-flex--7,GoCity Flex Pass for 7 Attractions  ,GoCity Flex Pass für 7 Attraktionen ,$224 ,https://prf.hn/click/camref:1011lwjSA/pubref:passprofi/destination:https%3A%2F%2Fgocity.com%2Fen%2Fnew-york%2Fpasses%2Fexplorer,https://prf.hn/click/camref:1011lwjSA/pubref:passprofi/destination:https%3A%2F%2Fgocity.com%2Fen%2Fnew-york%2Fpasses%2Fexplorer,https://nycliebe.de/wp-content/uploads/2025/04/gocitypass.png,,,,,,
gocity-flex--10,GoCity Flex Pass for 10 Attractions  ,GoCity Flex Pass für 10 Attraktionen ,$299 ,https://prf.hn/click/camref:1011lwjSA/pubref:passprofi/destination:https%3A%2F%2Fgocity.com%2Fen%2Fnew-york%2Fpasses%2Fexplorer,https://prf.hn/click/camref:1011lwjSA/pubref:passprofi/destination:https%3A%2F%2Fgocity.com%2Fen%2Fnew-york%2Fpasses%2Fexplorer,https://nycliebe.de/wp-content/uploads/2025/04/gocitypass.png,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
